Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
442	1266877	1340724	1313774	1318686	1331580	1434054	1347573	1216549	1348775	1272364	1122064	1066776	1172254	1229847	1271011	1221443	1240387	1275141	1295579	1262200	1351413	1406668	1193076	1168897	1114129	1168357	1191926	1143580	1161513	1188130	1126308	1154234	1186178	1260579	1113038	1038506	1068640	1158562	1188763	1181795	1171841	1291984	1152293	1116894	1117054	1136241	1058713	968911	1067895	1157022	1177206	1131236	1150568	1226375	1159775	1157312	1109770	1149501	1046267	995245.3	1154463	1245126	1277336	1212801	1188743	1253184	1185313	1139356	1156754	1200679	1070015	1030017	1202915	1334915	1400875	1359598	1341318	1402006	1257758	1231794	1205831	1249355	1159805	1096977	1216122	1341917	1334210	1270796	1379324	1324487	1235697	1278213	1254031	1342923	1189038	1183830	
463	1271472	1333613	1310491	1324425	1343806	1431541	1339433	1215867	1347844	1268715	1134597	1063854	1179525	1232767	1259519	1215137	1241309	1273927	1297867	1256042	1356001	1411436	1189126	1169640	1116573	1186298	1193658	1141608	1150811	1183507	1139460	1168699	1184361	1257413	1116177	1030045	1073163	1148908	1189062	1182154	1162036	1276336	1153769	1128158	1125396	1128217	1067235	965676.1	1066934	1155677	1173319	1132633	1153721	1225087	1153919	1168572	1110650	1149482	1059693	1005636	1152371	1250922	1272325	1218597	1196924	1250202	1186605	1138298	1161953	1206271	1059551	1041992	1196701	1344790	1407461	1353330	1344001	1397186	1250830	1217778	1207770	1244041	1154559	1100468	1209435	1335549	1339998	1272637	1378127	1322844	1250225	1282433	1251735	1340974	1199860	1181553	
483	1270902	1322599	1304518	1336827	1357749	1425114	1341965	1213073	1343878	1261409	1124498	1062735	1184140	1235251	1270297	1214363	1224427	1269116	1290133	1252032	1358879	1401595	1192254	1169485	1111605	1178996	1191571	1146999	1157676	1179294	1126857	1161094	1176429	1257170	1112055	1043019	1061755	1151887	1191840	1188102	1162751	1281292	1149999	1118540	1109017	1127924	1072532	973253.4	1068302	1154776	1179318	1134413	1158876	1215725	1158645	1152335	1143106	1152922	1060617	999277.3	1141326	1248706	1275515	1213868	1193196	1253533	1189491	1134500	1155114	1203780	1070910	1040289	1191756	1338419	1404278	1344509	1334285	1393453	1253723	1224892	1211291	1242392	1159895	1096087	1208519	1341117	1337315	1263863	1374445	1337800	1241605	1285994	1253415	1358403	1195549	1185898	
503	1262434	1345660	1301327	1338645	1368609	1415369	1342710	1219044	1352362	1255104	1127033	1058814	1185599	1233251	1262154	1211401	1228735	1269085	1291980	1263172	1349551	1407842	1192220	1164034	1107028	1183011	1202890	1139430	1157928	1184842	1134969	1157832	1180344	1265988	1112297	1033056	1061289	1153737	1175203	1180297	1163069	1276780	1150492	1107097	1122387	1125016	1058806	964641.9	1065763	1160462	1179329	1138972	1147806	1226369	1157017	1150022	1140204	1138434	1060265	993116.3	1159320	1244999	1277365	1211347	1190834	1240700	1195990	1138593	1148538	1207216	1070548	1030892	1191002	1341923	1400761	1342636	1338247	1385735	1257503	1222993	1213305	1245150	1161246	1100891	1209220	1341826	1338832	1275676	1375844	1367962	1249193	1264979	1254720	1342442	1196457	1187196	
523	1270076	1332689	1299579	1332882	1369754	1418843	1335324	1215653	1347289	1259353	1138638	1073426	1181464	1224843	1262895	1213843	1227214	1281178	1288372	1264312	1351627	1399225	1183180	1166455	1114242	1182262	1198508	1140603	1149607	1185836	1134977	1159126	1180251	1253466	1114711	1032387	1061938	1156532	1183689	1178472	1173608	1270132	1157809	1120337	1121025	1123386	1060902	969940	1082348	1163481	1173730	1156073	1146028	1211977	1171132	1142445	1132532	1148427	1061057	985446.7	1150664	1240594	1284712	1204573	1186951	1238869	1190571	1143099	1147234	1205346	1061598	1035873	1189099	1351433	1409001	1323678	1335833	1386478	1261700	1220666	1208326	1249678	1154653	1094438	1213983	1339316	1340217	1279472	1368486	1376351	1248525	1279206	1256432	1353108	1191684	1175798	
543	1267925	1344719	1305418	1332873	1366448	1418603	1346947	1214824	1344831	1257187	1131313	1070899	1192255	1225676	1254568	1212314	1222119	1297366	1289563	1259072	1348070	1397884	1189098	1157781	1101658	1185666	1212245	1142007	1144816	1176276	1130951	1150052	1187579	1258837	1110418	1043665	1063099	1157504	1191405	1174720	1171979	1273822	1162672	1115174	1122171	1133789	1058298	969050.7	1068355	1171358	1171847	1167325	1149225	1216769	1188250	1143172	1131413	1149465	1058547	997879.3	1154417	1240264	1287251	1209945	1191973	1227275	1195755	1137151	1135065	1205588	1080976	1038809	1189798	1365567	1401653	1332400	1336257	1378070	1256305	1221321	1202656	1236749	1158539	1089479	1207319	1346813	1335326	1293029	1362369	1378768	1248770	1271602	1249516	1343357	1192338	1181965	
563	1266104	1329433	1306559	1339872	1379031	1409416	1341387	1206901	1343230	1256874	1135522	1063787	1182839	1221790	1261822	1208510	1214294	1302099	1286324	1259831	1347424	1400407	1188249	1163793	1106617	1188674	1210739	1141175	1145689	1180868	1128315	1152233	1192078	1254236	1114072	1030261	1074025	1143419	1177063	1175621	1168120	1269406	1182397	1105503	1120679	1137473	1056215	963841.9	1071364	1166339	1168968	1177949	1146314	1213790	1197159	1140753	1132743	1132345	1058611	987917.9	1159447	1238834	1305033	1201502	1193214	1236366	1195222	1143228	1140668	1212499	1074202	1023847	1198439	1364707	1404262	1336382	1332907	1381613	1253147	1217462	1207303	1243234	1164552	1097438	1209089	1347077	1328728	1306272	1368091	1374202	1246418	1270687	1252040	1341616	1197279	1176913	
584	1265840	1342234	1303841	1326475	1370715	1407073	1341976	1210173	1341228	1256725	1128277	1074722	1178985	1224634	1260838	1197723	1215764	1303368	1283403	1260614	1353674	1402785	1186309	1153446	1107378	1180656	1210773	1142931	1140721	1186100	1127934	1149306	1188809	1255574	1118166	1035248	1065145	1143677	1183593	1170874	1162835	1258428	1193030	1103807	1111087	1130137	1058631	958668.6	1078129	1163232	1178149	1174504	1144945	1206994	1183995	1145865	1135067	1146605	1055409	988119.1	1160448	1253209	1302145	1200513	1191909	1236442	1200889	1133531	1144644	1210175	1070289	1037139	1200915	1374289	1417649	1334794	1340896	1378710	1259679	1231286	1204828	1239843	1162977	1093632	1210943	1357005	1327911	1317290	1367806	1374003	1240147	1262218	1254418	1346240	1201074	1172860	
605	1266767	1340317	1303677	1325301	1363048	1396818	1352546	1204685	1353366	1253855	1137737	1062632	1191309	1219454	1246296	1195437	1215668	1311215	1279572	1271649	1346659	1397837	1193444	1160331	1109564	1180518	1219750	1132380	1140134	1187256	1131702	1132773	1184680	1252543	1101593	1031351	1069664	1146129	1182019	1162985	1199394	1268815	1193427	1102747	1122679	1127002	1063715	962403.3	1072340	1159919	1164254	1179773	1154441	1200316	1187520	1139704	1132328	1139563	1058082	995007.7	1162204	1242276	1306708	1198017	1204230	1235799	1195968	1137491	1140131	1206721	1068313	1030403	1196564	1366878	1425230	1328360	1333910	1372872	1253740	1222486	1208855	1241431	1156628	1100956	1205918	1355431	1329365	1311980	1374766	1368037	1245255	1267562	1261694	1343442	1194873	1175223	
624	1264590	1335926	1303582	1319811	1366721	1394926	1358826	1211361	1364999	1254586	1139816	1059460	1196148	1220672	1256261	1196458	1209471	1293682	1280503	1271679	1346906	1402092	1190113	1157855	1104933	1182256	1208562	1138374	1140532	1193650	1133422	1133222	1203813	1255630	1118744	1033997	1066229	1149833	1174708	1157574	1203455	1269482	1193117	1091571	1125799	1125776	1054944	959041.1	1071977	1159434	1165869	1169135	1154321	1203559	1198366	1136950	1131624	1148890	1062467	996470.1	1171785	1240242	1305501	1191289	1231748	1234920	1192003	1136944	1135353	1214964	1062878	1027831	1190678	1386521	1435960	1333339	1330116	1375395	1251792	1223228	1201490	1244398	1159134	1107942	1209892	1363524	1330486	1314091	1371276	1374579	1252377	1258296	1269826	1348448	1191139	1174765	
