<HEADER>																																																																																																
Date	2022-11-23																																																																																															
Time	14:12:11																																																																																															
Instrument	Panoptic																																																																																															
ProtocolName	1 Tip_1 Add_20 uL_2 min_New Green																																																																																															
AssayPlateBarcode	HEK_FLUO-8_2																																																																																															
AddPlateBarcode	ACh CHK																																																																																															
Indicator	New Green	Excitation	488	Emission	536(40)	Exposure	50	Gain	100																																																																																							
Binning	4 x 4																																																																																															
NumRows	8																																																																																															
NumCols	12																																																																																															
Operator	b	Greenway	Bryan																																																																																													
Project	Test Project																																																																																															
</HEADER>																																																																																																
<INDICATOR_DATA	Blue	>																																																																																														
Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
2.561	110056.6	141808	149937.3	142068.6	140844.1	127838.1	115316.1	112838.9	115870.3	115870.1	115339	117382.7	101411.6	112195.9	135904.9	126781.9	118371.7	109886.4	112846.9	109451.7	110771.9	112482.4	116346.3	118715	97847.71	111595	116050.4	110035	104301.6	103159.4	105823	106572.7	109881.9	112263.3	117008.6	117659.3	97201.14	104703.7	107939	103951.7	97607.29	102051.4	105224.3	107403	122342.4	122504	126190.1	125410.4	89099.57	100133.3	101296.1	96812.71	98403.29	103517.6	107844.9	106886.3	111205.9	115178.7	114762.1	116223.3	86505.71	99401.29	100367.6	109678.3	100687.7	103731.4	107111.9	106185	114757.9	118067.4	117367.1	119694.3	84102.29	97887.43	101054.7	96995.71	101637.6	103268.4	107374.3	110288.4	123346.9	127468.3	125010.6	123247.4	93758	98955.43	99100.86	99695.86	103106.1	105970.7	107969	111415.7	115456.1	117013.3	116070.9	112991.1
2.673	111156	142855.1	149178.6	143326.1	137394.4	126313.9	114055	110091.3	115460.7	115384.7	118261.1	117925	101467	112108	138265.3	126805.4	117035.6	110551.6	110968.7	109484.7	112410.1	115160.1	117048	117020.9	96913.29	110246.6	114848.1	110917.4	104123.7	104169.7	106073.6	105901.7	110694.4	111976.4	118634.1	117060.3	97488.57	101743.1	109642.3	102574.7	95767.71	101933.1	104597.4	109842.1	120105	121850	126704.4	125651.3	88381	101765.1	101508.7	98874.57	99685.43	104035	105065.3	107209.4	111338.7	114972.1	116334.1	118350.9	88325.43	97204.86	100181.1	108141.3	100919.1	104368.3	104490.1	107030.9	113499.3	116379.1	118954.4	118568.1	84723.86	99503	99448	97570.14	101930	103341.4	107708.7	109817.9	124060.4	127107.1	125066.3	123657.6	92515.43	97475.57	98870.57	100710.1	105219	105473.1	109273.3	112000.3	114008.9	118904.9	112657.7	111916
2.822	111900.6	143741.9	149494.9	144024.3	137694.1	126207.4	115483.6	111234.7	114574.1	115523.1	114847.1	118253.6	100920.4	111907.3	136413.1	126876.6	117027.6	109351	109525.3	110896.7	111612.6	113829	116381.9	116361.4	97874.29	111379.6	116628.4	110273.7	103931.1	105287.1	106903.3	105643.7	110474.1	112039.3	117696.4	116439.7	96152.14	102825.9	108074.1	103989.6	96105.29	103487	106273.9	108893.1	120051.9	122067.4	125170.9	126386.1	89172.57	100423.3	100992.9	98176.71	99154.14	104188.9	107000.4	108373.9	112476.6	114042	115621.1	116396.4	88024.71	97853.57	99945.86	108097.9	100716.6	104147.1	106378.9	108003	113811.9	117795.3	118857.4	119457.1	83725.29	99023	100171.3	97117.14	100610.9	103547.6	109165.6	111091.9	122390.3	128222.7	123260.4	123982.1	94890.29	99921.14	98734	101626.3	104668.3	105313.6	108598.4	114346	114187.1	117123.4	112962.7	112370.4
2.943	110074.3	144111.4	149026.3	144882.9	137148.3	126777.9	115789.9	111975.9	115471.9	115932	117469.6	118944.4	102267.6	112643.7	133935.6	127948.7	117795.9	110179.6	109622.3	110027.1	110594.3	114705.3	116882.1	118768.3	96993.57	110659.7	114742.9	110472	105081.1	103869.6	106508.4	105803.7	109738.9	111482.9	115798.6	116321.3	96507.14	102533.3	109168.1	102141.3	95567.14	102942	105715.7	107176.7	120717.1	121409.1	127756.6	126401.6	88426.29	100934.7	100513.7	98721.57	98685.29	104633.9	107939.7	107448.9	111354	113745.7	117032.7	117648.7	87565.14	98372.14	99288.43	107704.4	101047	104680.9	105257.4	107371.7	114342.1	117888.6	118976.7	119416.7	85357.14	97231.86	99356.29	97237.57	101738.6	103918.6	107135.9	110356.6	125415.6	127864.6	125014.6	124207.3	92541.71	98739.29	99582.71	102494.7	103854.7	105745.9	109465.6	112162.6	114492.9	116968.7	113624.7	112787.1
3.067	112216.4	143289.9	149120.3	143465.9	137223.6	125910	114570.4	111778.7	116705.1	115284.4	116294.1	117259.6	101595.4	112612.9	135422.7	125896.9	118000.7	109148	113659.7	110035.6	112412.1	114993.6	115134.1	116987.4	97663.57	110634.1	115019.6	108866	102887.1	102764.4	107816.9	105483	109906.9	111814.1	117807.4	117223	98895.71	101806.9	109605.9	102927	97527.29	102800.1	105664.3	106896.4	121535.6	122927	127029	127097.6	90483.71	100369.4	100456.9	98813	99013.71	103624.7	107571.9	106186	109986.7	116602.1	116524	115576	86822	97295.86	99562.14	106988.1	100668.1	102871.6	106081	107258.3	113294.9	117730.9	117382.1	117247.9	86766.71	98330.86	100059.4	95901	101863.6	103149.7	109023.4	111335.4	126694.6	126564.9	125434.1	124226.9	95666.57	98803.14	98404.43	100782.3	104544.9	103927.1	109891.3	110728.7	113811.4	118068.1	115298	111847.6
3.207	112176.1	144156	148963.7	143902.7	137117.6	125971.6	114028.9	110684.6	117001.7	115119.9	116348.1	119534.1	101345.6	112745.1	134240.3	127328.9	119264.7	110685.1	111737.7	109429	111367.4	113308.3	117583	117726.1	98524.29	109093.1	114096.9	109729.4	103923.9	103143.9	106085.4	105611.4	110478	111826.4	117217.3	118601.1	97569	103901.7	109118.4	103058.3	97464.29	102648.4	104966.1	108737.7	121171	121601.9	127287	126929.6	88976.14	100613.4	99116.71	98124.57	98807.71	102731.6	106176.6	107351	111829	114269.1	117595.3	117504	89523	98551.86	100479	109074	99145.86	103547	107502.4	107203.9	115943.7	117690	118404.1	116995.3	84927.57	97478	99705.86	96021.29	101869	101751	108985.3	108767.1	122858.6	128802.9	123080	122838	94850.29	98934.29	97466.29	101423.6	104758.6	107090.6	109405.4	113669.4	113749.9	117718	113579.3	112475
3.322	112040.1	142881.3	148536.4	143950.1	138764.4	125351.7	115074	113002	115088.6	115139.4	116477	116965.9	101294.9	114172	135742	126827.3	117915.1	109811.4	111164.1	108280.3	112818.7	114677.7	116411	118580	97937.86	111662.3	114087.7	109330.4	104150.6	104563.3	105662.6	105744	109973	112357.1	117745.4	115677	96831.57	101976	109764.4	101922.1	97273.43	101539	106605.7	108170.7	119425.6	122609.3	125278	126037.9	89793.71	99477.57	101524.7	98751.43	99271	103081.6	108476.9	107729.1	111843.1	113905.9	115955.9	115465.7	88061.86	98133.43	99834.86	106803.6	100460.3	103252.1	105780.7	109022.6	114453.7	119906.3	117102.1	119032.6	84660.43	98026.86	100282	95891.86	101516.6	102408.9	108815.6	108766.7	123527.1	127837	123732.9	125102.9	94797.14	99237.86	98880.14	100889.1	103744.1	105658.7	108372.3	112035.1	113853.7	118439	112696.7	113106.9
3.436	110851.7	142816.3	148792.6	144600.4	137276.3	127424.7	114897.6	112719	115358.7	114738.6	117808.9	117000.1	100985	112759.9	134947.1	126390.4	118325.6	109362.1	112476.4	109463.4	111453.6	113619.6	115033.9	116814.6	97910.71	109919.4	115437.6	111062.4	103791.9	103290.4	105804.3	105045	110199.6	111504	116977.7	115984.6	97968.43	101398.9	109860.3	102833.4	96580.43	102928.1	105850.1	108259.9	122628.1	122940	125930.7	129337.4	88865.43	100916.6	100644.6	98028.71	99597.71	104487.9	107773.9	106581.4	110721	115107.1	115289.3	115378.7	88878.14	98551	99556.71	105991.9	99292	104585.1	105972.7	109409	114893.6	118554	117967.7	118942.9	83371.29	98429	99620.71	95690.57	99998.43	102361	109317.3	109945.7	122874.4	127495.7	125925.4	125216.7	94738.86	98449.57	100527.4	101818.7	104825.3	106140	108559.6	110304.6	113204.7	118199.9	114512	112683.7
3.587	110706.4	142872.6	149903.9	144643.9	137766.3	126050.1	115786.6	112407.1	115360.1	116323.9	117022.1	115010.7	100636	111774.1	133586	126460.4	120263.1	110705.6	112113.3	108539.4	112673.1	114545	116543.4	117330.6	96455.86	110378.3	116000.1	111318.6	104898.1	104724.4	106088	105089.6	110142.6	113028	116026.6	117000	98059.57	102483	109726.4	103941.9	97609.14	102223	103931.9	109748.9	119440.7	124541.4	126243.7	125979.3	88511	102103	99051.86	98458.29	99033.71	101731.4	106945.4	107073.1	111589.1	116121.7	115862.6	117152.9	87789.43	98908	100799.3	108397.3	99772.86	104019.6	105175.7	109136.3	114282.7	116523.3	117088.7	117152.3	84486.71	98786.14	100150	96367.86	101177.3	102675.1	108794	109496	122041.7	126687.6	125792.3	124493	94988.57	97233.71	99158	99034	104912.1	106197.4	108838	111858.7	115676.4	117722.9	115789.3	111761.4
3.727	108607.7	143711.3	150840	142297	139325.6	125530.9	114887.3	112751.6	115464	114779.7	115853.4	117882.7	100051.7	112029.4	134579	127312.6	117218.9	109175	112502.3	108220.6	111550.4	114309.6	117289.3	117957.4	97032	111594.6	116331.4	110462.6	105076.1	103789.9	105438.3	103374	110006.6	111593.1	115295.1	117293.9	97688.57	102634	108338.9	102847.4	95614.14	102118.6	106890.9	107717.9	121712.3	121719.9	126025.1	126188.4	87523.14	101134.6	102038.1	99069.57	99333.71	103419.4	107205.4	108976.9	111264	114626.6	115466	117014.7	88001.71	99099	98985.14	108566.4	99873.57	103936.1	106054.4	109065.6	114963.7	117669.9	118850.6	118992.4	83691.14	100354.4	100298.6	94934	101237.4	103643.4	108177.4	109209.6	123882.9	127408.3	124829.9	123750.1	95109.71	99134	99171.57	100027	105309	105154.1	107801.4	110742.9	115688.4	118203.6	111897.4	111304
